definition,answer,occurrences,example_clue,approve
unknown male,RICHARDROE,1,Unknown male confused hod carrier,
unlikeable character,ANTIHERO,1,Unlikeable character I confused with another,
unlucky,UNTOWARD,1,Drawn out in the wrong order - that's unlucky,
unlucky formulation,SODSLAW,1,Oswald's unlucky formulation,
unlucky mexican emperor,MAXIMILIAN,1,Unlucky Mexican emperor was mistakenly lax in Miami,
unmixed,TEQUILASUNRISE,1,"Unmixed drink quite horrible, unless air is circulated",
unnaturally large shadow,BROCKENSPECTRE,1,"Unnaturally large shadow, wildly berserk concept",
unnecessarily,REDUNDANTLY,1,Unnecessarily tend laundry that’s to be spun,
unplanned,ADVENTITIOUS,1,Unplanned tuition saved following reorganisation,
unprofessional activities,DOITYOURSELF,1,Unprofessional activities of Tories duly condemned,
unquantifiable,INDESIGNATE,1,Damage done to Angie and Den - it's unquantifiable!,
unrealistic drama,STORM IN A TEACUP,1,Important cause represented in unrealistic drama,
unrealistic expectation,PHANTASY,1,Pay hasn’t changed? Unrealistic expectation,
unremarkable,MIDDLE-OF-THE-ROAD,1,"Unremarkable, misguided hero faded, I'm told",
unreproducible,COPYRIGHT,1,Unreproducible chit Porgy composed,
unrestricted,ENTIRE,1,Unrestricted blight in tree,
unromantic place,FRIEND ZONE,1,Unromantic place upsetting for denizen,
unseemly,INDECOROUS,1,Unseemly do on cruise trip,
unsophisticated,AGRESTIC,1,Unsophisticated GI reacts oddly,
unspecified date,ANYTIME,1,Amenity switched to an unspecified date,
unspecified location,ANYWHERE,1,"New Year, when in unspecified location",
unsubstantiated info,OLD WIVES TALES,1,Sod's Law – I've let out unsubstantiated info,
unsuitable,INEXPEDIENT,1,Unsuitable pixie needn't go swimming,
unsuitable marriage,MISALLIANCE,1,Camille is upset about an unsuitable marriage,
untrustworthy partner,ADULTERER,1,Untrustworthy partner abused trade rule,
unwary,CARELESSDRIVING,1,Accidentally delivering scars to the unwary?,
unwelcome,HATED,1,Unwelcome form of death,
unwell,UNDERTHEWEATHER,1,"Upset by the thunder, we are unwell",
unwillingness,RELUCTANCE,1,Cleaner cut out unwillingness,
up delivering such motivational guff,THERESNOIINTEAM,1,Hate one minister whipped up delivering such motivational gu,
up everything one loves,SELF-DENIAL,1,"Flee island in confusion, giving up everything one loves?",
up here,CLOUDCUCKOOLAND,1,Loud coo and cluck up here?,
up north,ICESHEETS,1,Reworked cheesiest material way up North,
up north,SCOTIA,1,Is coat tailored up north?,
up potter's object,CERAMIC,1,It's a c-crime to break up potter's object,
up till now,THUS FAR,1,"Up till now, ground has turf",
up vault,ONION DOME,1,One in mood smashed up vault,
up vice,MORTAL SIN,1,It's normal to screw up vice,
upbeat,ANACRUSIS,1,Russia can rebuild - that's upbeat!,
update,REFRESHER COURSE,1,Mobile rescuers here for training update,
upgrade needed,ENHANCE,1,"Struggling, hence an upgrade needed",
upland,SNOWDON,1,Rambling on downs and upland,
uplifting underwear,WONDERBRA,1,Uplifting underwear or drab new pants,
upward path,MOUNTAINSIDE,1,Unionist made out an upward path?,
urbanity,OILINESS,1,Ines and Lois developed urbanity,
urgency,NOTIMETOLOSE,1,Exploding on some toilet — it's a matter of urgency,
us agent,GANGBUSTER,1,US agent involved with nugget bars,
us exclusively,INGROUP,1,Pouring out for us exclusively,
us novelist’s,STEINBECK,1,US novelist’s hideous neck bites,
us people,MEDICAID,1,I came and did bad thing for poor US people,
us tourists provided,VACATIONERS,1,US tourists provided with no visa react badly,
us violinist,ISAAC STERN,1,US violinist sectarians upset,
us: also meat,VEGETARIANS,1,Tea and vinegar's out for us: also meat,
usa,CALIFORNIA,1,African oil processed in the USA,
ussr,GLASNOST,1,Last song of reform in USSR?,
vaguely outlined,ADUMBRATED,1,Vaguely outlined throwing mud at beard,
valuation,REASSESSMENT,1,Turbulent masses resent another valuation,
van,PARCELPOST,1,Petrol cap's possibly something that comes with the van,
vandal,MUTILATOR,1,Vandal turns it to mural,
vandals,MUTILATORS,1,Stimulator provoked vandals,
veg,NEWPOTATO,1,Stew of one apt to have two veg,
vegetable,LADYS FINGER,1,"Vegetable, gas-friendly, needs cooking",
vegetable,KIDNEY BEAN,1,Vegetable from Kenya Biden chewed,
vegetable,HORSEBEAN,1,Stewed hare bones and vegetable,
vegetable,SOYBEAN,1,Bone say is stewed with this vegetable,
vegetarian,TOMATO,1,A motto rewritten for the vegetarian,
veggie hors d'oeuvre,CRUDITES,1,Veggie hors d'oeuvre — butcher cursed it!,
vehicle,OPEN-TOP,1,Pope not travelling in this type of vehicle?,
vehicle carrying 12 articles weekly,SPECTATOR,1,Plastic protects a vehicle carrying 12 articles weekly,
vending apparatus,SLOT MACHINE,1,No alchemist manipulated this vending apparatus,
venerate,CONSECRATE,1,Venerate actor in scene in new production,
venetian quarter,RIALTO,1,Rail trip to Venetian quarter,
ventilation,AIRINESS,1,Adjusted as rise in ventilation,
vents,NOSTRILS,1,Ron lists broken vents,
venue,FOOTBALL,1,Ballot of sporting venue?,
venue,GASTROPUB,1,Rebuilt as top grub venue?,
venue,MARKETRASEN,1,Tar with arm and knees dislocated at sporting venue,
verbal 22,CESTLAVIE,1,A vile sect makes a verbal 22,
verbs,COPULAS,1,Paul & Co's irregular verbs?,
verdant tourist attraction,KEWGARDENS,1,Grand: week's wasted in verdant tourist attraction,
verily,INSOOTH,1,Verily it's Hoon that's out of order,
veronese family,SCALIGER,1,"Sad case, girl of Veronese family",
verse,SESTINAS,1,"Verse form as in Tess, perhaps",
very,WORLDS APART,1,Very different doctor patrols ward,
very alarmed,PANIC-STRICKEN,1,Very alarmed picnicker upset with ants,
very amusing story,RIB-TICKLER,1,Brick tiler crushed in very amusing story,
very close,ASNEARASDAMNIT,1,Tasmanian dares to shuffle very close,
very cold,SIBERIAN,1,Very cold wind in Serbia,
very courageous,LION-HEARTED,1,Very courageous in the ordeal surprisingly,
very dear,OVERPRICED,1,Eric proved to be very dear,
very expensive,COSTTHEEARTH,1,The other acts could be very expensive,
very large,GINORMOUS,1,Very large room using design,
very large one,SALADDODGER,1,"Ad reads ""Gold Blend — a very large one?""",
very light,THISTLEDOWN,1,"Sadly lost the wind, it is very light",
very long period,SECULAR,1,Ulcers a problem over a very long period,
very minor piece,SCINTILLA,1,"Very minor piece composed, it’s all in C",
very old,NEOLITHIC,1,Very old coil in the transformer?,
very old-fashioned,ARCHAISM,1,"Sadly, charisma is something very old-fashioned",
very old-fashioned,OUTOFTHEARK,1,"UK father, too clumsy and very old-fashioned",
very popular,MAINSTREAM,1,Very popular star I'm mean about,
very powerful governor,AUTOCRAT,1,Very powerful governor moved actuator,
very precise,SURGICAL,1,Very precise girl with UCAS forms,
very rich woman,MILLIONAIRESS,1,Very rich woman crashed airline's limos,
very scared,TERRIFIED,1,Very scared if retired poor,
very select group,SUBCOMMITTEE,1,Very select group must become excited about IT,
very short,MICRON,1,C minor composition is very short,
very small,NEUTRON,1,One runt suffering — it's very small,
very strong supporter wants,ZEALOT,1,Very strong supporter wants to laze around,
very tedious,BORETHEPANTSOFF,1,Father often bops around - it's become very tedious,
very young people,NEONATES,1,Very young people composing unusually sane note,
vessel,TEACLIPPER,1,"At sea, triple-pace vessel",
vessel,NOAHSARK,1,Vessel on a shark trip,
vessel well protected,IRONCLAD,1,Vessel well protected from unusually cold rain,
vessels,PILOTBOATS,1,Stop to bail out vessels,
vessels requiring,POWER BOATS,1,Vessels requiring knotted ropes at bow,
vets,HORSE-DOCTORS,1,Vets record shoots angrily,
via vessel,INTRAVENOUSLY,1,Vans routinely transported via vessel,
victim,EMIGRE,1,Victim of regime change?,
victoria here,VANCOUVERISLAND,1,"Victoria here, a nun, loved vicars to bits",
victorian rear extension,BUSTLE,1,Victorian rear extension sublet for redevelopment,
victoria's one,ROYALWE,1,Victoria's one abysmally low year?,
victorious,WINSTHEDAY,1,"They wind, as Dicky comes out victorious",
victor's tactics,ONEUPMANSHIP,1,Reformed human sin with Pope Victor's tactics,
view regarding pope,PETRINE,1,I repent unorthodox view regarding Pope,
viewers,MATINEE IDOL,1,Stirred limeade into dish for viewers,
viking,SPACE PROBE,1,"Viking, say, casting copper base",
violinist,VANESSA-MAE,1,A&E man saves poorly violinist,
virtual meeting,CONFERENCE CALL,1,Virtual meeting in France once cell reorganised,
virtuoso pianist,RACHMANINOV,1,Vain monarch made out as a virtuoso pianist,
vision,PHANTASMAGORIA,1,"Sight panorama, a moving and fantastic vision",
visionaries,FANTASISTS,1,"Saint fasts, stirring visionaries",
visual perspective,OPTICAL,1,Capitol to be rebuilt from a visual perspective,
vlad,TRANSYLVANIAN,1,"Vlad, maybe, giving Ann nasty viral disorder",
vocal hindrance,LARYNGITIS,1,Vocal hindrance styling air roughly?,
vocal music,ROULADE,1,A louder composition of vocal music,
volcanic archipelago near alaska,ALEUTIANISLANDS,1,Various components from USA installed in a volcanic archipel,
voltaire,ENCYCLOPEDIST,1,"Voltaire, say - deep cynic lost at sea",
volunteers,YEOMANRY,1,"Volunteers of yore, with many suffering",
volunteer's mission statement,ICOULDGO,1,Logic duo displayed in volunteer's mission statement,
voluptuary,SYBARITE,1,Voluptuary disturbed by satire,
voracious fish,BARRACUDAS,1,Scuba – radar deployed – voracious fish!,
votes,NOES,1,Votes could be wrong ones,
voyage,UNSEAWORTHY,1,Southern way out unfit for the voyage,
vulgar jacketed item,BAKEDPOTATO,1,Too bad! Kept a vulgar jacketed item,
vulgar rendition,LOUTISH,1,Vulgar rendition of soul hit,
vulgar words,VERNACULAR,1,Vulgar words recur with naval orders,
wager,LAYODDS,1,Wager from old days settled,
wages,PROSECUTES,1,Somehow secures top wages,
wait,NOTSOFAST,1,Wait to toss fan out,
waiting here,STAGE DOOR,1,Are Godot's cast waiting here?,
wales,SNOWDONIA,1,Woods in an unsettled area of Wales,
walkways,ESPLANADES,1,Please sand slippery walkways,
wall,LATRINE,1,Crude line art on its wall,
wally gets,DOLT,1,Wally gets told off,
waning now,ANNODOMINI,1,Indian moon waning now?,
wankers,ONANISTS,1,No stains made by wankers,
wanted,UNDESIRED,1,"Is endured unhappily, not wanted",
wanting independence,SELFSUFFICIENCY,1,"Fluffy 'sciences' I cast off, wanting independence",
wanting wardrobe,NAKEDLY,1,Led Yank about wanting wardrobe?,
wants,APPETITES,1,New tea set Pip wants,
ward,PROTEGE,1,Ward got peer in trouble,
warhorse,OLDSTAGER,1,Do exercises with largest warhorse,
warm feeling,AFTERGLOW,1,"Bursting, flow with great warm feeling",
warmly welcoming,OPENARMED,1,Warmly welcoming new layout for promenade,
warner making,FIREALARM,1,Warner making a rare film,
warning,LIGHTSHIP,1,His plight could be a warning,
wars,ROSES,1,Wars of heaving sores,
wartime hero,SCHINDLER,1,Wartime hero of children's novel,
watch,NIGHTINGALES,1,Watch it! He's angling for trouble,
watch,HOROLOGE,1,"Watch hole, or go out?",
watching online,STREAMING,1,'Doctor Strange' — I'm watching online,
water,NORTHSEA,1,Shot near turbulent body of water,
water,LAKEONTARIO,1,Oriental oak represented in body of water,
water,ADRIATIC SEA,1,Raise aid and act to distribute water,
water bird,PELICAN,1,Water bird in place abroad,
water flowing through capital,THAMES,1,Fluid has met water flowing through capital,
water softener,BATHCUBE,1,But beach bum is a water softener,
watercraft,CANOE,1,Watercraft in choppy ocean,
waterproof,GROUNDSHEET,1,Thunder? Goes running for something waterproof,
waterproof footwear,WELLINGTON BOOTS,1,Possibly no tots bellowing for waterproof footwear,
water's edge,SHORELINE,1,Horse Neil trained by the water's edge,
waterworks,CYSTITIS,1,City sits uneasily with trouble in waterworks,
wax lyrical,RHAPSODISE,1,Reformed characters in parishes do wax lyrical,
we personally,OURSELVES,1,We personally use lovers badly,
weak supporters touching,KNOCKKNEED,1,Weak supporters touching caps once KKK den assembled,
weaken,ENERVATE,1,Even rate changes weaken,
weakish shadow roughing,PENUMBRA,1,Weakish Shadow roughing up barmen,
weapon,BOWSTRING,1,Wrong bits used to make part of a weapon,
weapon,MACHINEGUN,1,Weapon fired by nice man - ugh!,
weapon,MITRAILLEUSE,1,Accidentally use tiller and aim weapon?,
weariness,TIREDNESS,1,Weariness of troubled dissenter,
wearing armani,POWERDRESSING,1,"Wearing Armani, perhaps depressing row resolved",
weather,CLOUDBURST,1,Brutus shivering with cold in awful weather,
weather feature,WATERSPOUT,1,Pat wrote us about weather feature,
weather forecast favourable,SET FAIR,1,Weather forecast favourable – fear it's incorrect,
weather forecast favourable,SETFAIR,1,Weather forecast favourable ? fear it's incorrect,
weather system,OCCLUDEDFRONT,1,Weather system – horrible – often cold – crud!,
web user,SPIDER-MAN,1,Web user is map nerd unfortunately,
web-designing tool,SPINNERET,1,Switch present in web-designing tool?,
wedding dress,TAILCOATED,1,I acted a lot differently in wedding dress,
wee bairns,ANKLEBITERS,1,Wee bairns in kilt and bra seen drunk,
weed,URINATED,1,Weed in nature I’d cultivated,
weedy kid's condition,RUNTINESS,1,Weedy kid's condition worrying nit nurses,
weekly,RADIOTIMES,1,"I am so tired, working weekly",
welding substance damaging,OXYACETYLENE,1,Welding substance damaging on eye? Exactly,
well,BY THE SAME TOKEN,1,My T-bone steak he cooked as well,
well,GOODNESS ME,1,Well has slippery moss on edge,
well advanced,FARGONE,1,Well advanced range of rocks,
well expressed,LITERATE,1,A letter I composed is well expressed,
well preserved,UNSPOILT,1,Well preserved Plotinus works,
well-fed,NOURISHED,1,"Well-fed, he is round in form",
well-known,WORLD-FAMOUS,1,Old forum was surprisingly well-known,
well-known tune,NATIONALANTHEM,1,Al - a thin man note - composed this well-known tune,
well-made jockeys,TAILORED,1,Well-made jockeys ride a lot,
well-read oxford professor,TOLKIEN,1,Not like unusually well-read Oxford professor,
welsh minister,RONDAVIES,1,Welsh minister with a sin drove off the rails?,
welsh taste,RAREBIT,1,Fashion arbiter of Welsh taste,
welsh town,CARDIGAN,1,Welsh town and cigar blend,
went,URINATED,1,"Novel unread, it went",
went overseas,EMIGRATED,1,"Tim agreed to move, went overseas",
went past,OVERHAULED,1,Went past a rude hovel needing repair,
we're young people,ADOLESCENTS,1,"We're young people, so let's dance madly",
west end farce,CHARLEY&#039;S AUNT,1,"Cast ""least raunchy"" West End farce",
west end venue,DRURYLANE,1,Rudely ran off in West End venue,
west indian,CARIBBEAN,1,A bribe can corrupt West Indian,
western,SANANGELO,1,Western city has no lasagne unfortunately,
western asian strait once cheekily,HELLESPONT,1,Western Asian strait once cheekily stolen — help!,
western australia,EUCLA,1,Set a clue in Western Australia,
western hero,HOPALONGCASSIDY,1,Hands apology (sic) over to Western hero,
western luminary,EVENING STAR,1,Deviously vet earnings for western luminary,
western producer,PECKINPAH,1,Western producer of cheap pink elastic,
wet,CLOUDS,1,They make us cold and wet,
we've got your milk,DAIRYMEN,1,"Turn in, my dear: we've got your milk",
what,CONIFER,2,What fir cone might become!,
what,EXEMPLIGRATIA,1,What might be a triple-X image say,
what,DRAMBUIE,1,What in bar I’m due to order?,
what,SEDATION,1,What could make one staid?,
what,SPATULA,1,What might mix up a salt?,
what,GAMEBIRD,1,What could be shot in Ambridge?,
what,KINETIC ENERGY,1,What could be generated by working rickety engine,
what,LOAVESANDFISHES,1,What could become a son's lavish feed?,
what,EQUALISER,1,What could make game lie square,
what,MINDGAME,1,What could baffle e.g. dim man?,
what,TOASTIE,1,What is to eat on the move?,
what,ADVERTISEMENTS,1,What ITV master needs badly,
what,VINEYARDS,1,What they make is drunk and is very silly,
what,STICKYEND,1,What makes Denys tick could be disastrous,
what,ITALICISED,1,What idealistic is — as it's fanciful?,
what,NEVERMIND,1,Men driven mad - so what?,
"what ""decreases",STEAM IRON,1,"What ""decreases"" rations — me unfortunately",
